,scores0,scores1
319,14.222,14.499
320,14.04,14.745
321,14.034,14.626
322,14.24,14.647
323,14.449,14.692
324,14.544,14.842
325,14.544,14.444
326,14.753,14.333
327,14.803,14.514
328,14.461,14.634
329,14.564,14.628
330,14.586,14.603
331,14.572,14.83
332,14.71,14.904
333,14.779,15.074
334,14.793,15.036
335,14.665,14.876
336,14.766,14.947
337,14.594,15.233
338,14.365,15.151
339,14.279,15.214
340,14.346,15.439
341,14.252,15.482
342,14.334,15.649
343,14.345,15.678
344,14.36,15.777
345,14.669,15.481
346,14.395,15.176
347,14.162,15.035
348,14.077,15.212
349,14.138,15.237
350,14.246,15.221
351,14.253,14.917
352,14.542,14.861
353,14.533,14.752
354,14.863,15.019
355,14.551,14.899
356,14.402,14.596
357,14.361,14.706
358,14.389,14.604
359,14.197,14.632
360,14.401,14.47
361,14.602,14.381
362,14.536,13.904
363,14.497,13.863
364,14.835,14.198
365,14.655,14.05
366,14.696,13.996
367,14.659,14.036
368,14.61,14.063
369,14.886,14.144
370,14.892,14.101
371,14.935,14.15
372,14.91,14.236
373,14.791,14.202
374,14.892,14.163
375,15.003,14.194
376,15.123,14.25
377,15.089,14.119
378,15.009,13.946
379,14.879,14.035
380,14.736,14.206
381,14.603,14.391
382,14.6,14.603
383,14.605,14.704
384,14.9,14.677
385,14.899,14.524
386,14.699,14.631
387,14.608,14.742
388,14.697,14.938
389,14.658,14.923
390,14.581,14.747
391,14.532,15.022
392,14.904,14.662
393,15.28,14.533
394,15.208,14.389
395,15.297,14.614
396,15.182,14.851
397,15.196,14.842
398,15.075,14.756
399,15.016,14.46
400,14.99,14.416
401,14.738,14.4
402,14.951,14.238
403,14.515,14.406
404,14.699,14.558
405,14.614,14.686
406,14.526,14.512
407,14.679,14.577
408,14.705,14.566
409,14.609,14.483
410,14.436,14.64
411,14.454,14.481
412,14.444,14.499
413,14.534,14.571
414,14.279,14.509
415,14.251,14.174
416,14.12,14.37
417,14.051,14.277
418,14.078,14.349
419,14.043,14.099
420,13.958,14.218
421,14.035,14.292
422,13.983,14.131
423,14.155,14.367
424,14.122,14.497
425,13.838,14.285
426,14.097,14.232
427,14.006,14.327
428,13.942,14.313
429,14.284,14.19
430,14.373,13.987
431,14.48,13.944
432,14.486,13.885
433,14.092,13.944
434,14.146,13.896
435,14.464,13.815
436,14.543,13.891
437,14.685,14.079
438,14.541,14.264
439,14.745,14.386
440,14.914,14.463
441,14.896,14.576
442,14.836,14.896
443,14.539,14.8
444,14.577,14.898
445,14.742,14.746
446,14.785,14.38
447,14.849,14.245
448,15.122,14.438
449,15.086,14.428
450,14.985,14.755
451,14.987,14.79
452,14.762,15.076
453,14.66,14.737
454,14.553,14.511
455,14.566,14.511
456,14.173,14.606
457,14.225,14.934
458,13.915,15.002
459,14.048,15.017
460,14.017,15.083
461,14.047,15.275
462,14.031,14.968
463,14.182,14.681
464,14.124,14.649
465,14.186,14.451
466,14.379,14.712
467,14.627,14.642
468,14.504,14.588
469,14.49,14.062
470,14.63,13.918
471,14.614,14.058
472,14.513,14.027
473,14.486,13.945
474,14.446,13.712
475,14.68,13.694
476,14.647,13.646
477,14.942,13.686
478,14.978,13.901
479,14.892,14.088
480,14.563,14.425
481,14.946,14.456
482,15.012,14.568
483,14.928,14.699
484,15.332,14.664
485,15.446,14.598
486,15.842,14.448
487,15.562,14.846
488,15.387,14.987
489,15.159,14.978
490,15.008,15.094
491,14.765,14.977
492,14.791,15.001
493,14.907,14.846
494,15.021,14.459
495,15.425,14.668
496,15.648,15.027
497,15.355,15.061
498,15.216,15.371
499,15.195,15.422
500,15.172,15.197
501,15.298,15.23
502,15.377,15.23
503,14.809,15.362
504,14.974,15.681
505,15.031,15.698
506,15.057,15.63
507,15.266,15.749
508,15.391,15.456
509,15.451,15.601
510,15.508,15.494
511,15.592,15.606
512,15.778,15.865
513,15.539,15.897
514,15.667,16.028
515,15.276,16.091
516,15.244,16.103
517,15.407,15.674
518,15.492,16.026
519,15.748,15.929
520,15.592,15.961
521,15.552,15.718
522,15.616,15.658
523,15.638,15.955
524,15.731,15.993
525,15.613,16.161
526,15.319,16.484
527,15.182,16.632
528,15.416,16.688
529,15.192,16.782
530,15.151,16.519
531,15.191,16.422
532,15.082,16.17
533,15.361,16.228
534,15.577,16.244
535,15.519,16.47
536,15.403,16.446
537,15.332,16.085
538,15.283,16.006
539,15.487,15.912
540,15.522,15.915
541,15.813,15.927
542,16.021,15.749
543,16.089,16.053
544,16.297,16.169
545,16.128,16.285
546,16.243,16.054
547,16.159,16.263
548,16.159,16.194
549,16.309,16.001
550,16.508,16.077
551,16.403,16.197
552,16.578,16.416
553,16.384,16.404
554,16.364,16.231
555,16.513,15.971
556,16.236,16.031
557,16.034,16.171
558,15.842,16.418
559,15.806,16.484
560,16.022,16.134
561,15.905,15.834
562,15.979,16.171
563,15.891,16.036
564,15.899,16.363
565,15.656,16.341
566,15.728,16.631
567,15.979,16.599
568,16.298,16.791
569,16.628,16.62
570,17.012,16.733
571,17.004,16.303
572,17.146,16.218
573,17.215,16.286
574,17.022,16.353
575,17.197,16.501
576,17.447,16.696
577,17.518,17.075
578,17.68,17.12
